PayrollPaymentID,PayrollRegisterID,PaymentDate,PaymentMethod,ReferenceNumber,ClearedDate,RecordedByEmployeeID
32,32,2024-01-19,Direct Deposit,PRPAY-2024-000032,2024-01-22,5
33,33,2024-01-19,Direct Deposit,PRPAY-2024-000033,2024-01-22,5
34,34,2024-01-19,Direct Deposit,PRPAY-2024-000034,2024-01-22,5
35,35,2024-01-19,ACH,PRPAY-2024-000035,2024-01-22,5
36,36,2024-01-19,ACH,PRPAY-2024-000036,2024-01-22,5
37,37,2024-01-19,Direct Deposit,PRPAY-2024-000037,2024-01-22,5
38,38,2024-01-19,Direct Deposit,PRPAY-2024-000038,2024-01-22,5
39,39,2024-01-19,Direct Deposit,PRPAY-2024-000039,2024-01-22,5
40,40,2024-01-19,ACH,PRPAY-2024-000040,2024-01-22,5
41,41,2024-01-19,ACH,PRPAY-2024-000041,2024-01-22,5
42,42,2024-01-19,ACH,PRPAY-2024-000042,2024-01-22,5
43,43,2024-01-19,ACH,PRPAY-2024-000043,2024-01-22,5
44,44,2024-01-19,Direct Deposit,PRPAY-2024-000044,2024-01-22,5
45,45,2024-01-19,Direct Deposit,PRPAY-2024-000045,2024-01-22,5
46,46,2024-01-19,Direct Deposit,PRPAY-2024-000046,2024-01-22,5
47,47,2024-01-19,Direct Deposit,PRPAY-2024-000047,2024-01-22,5
48,48,2024-01-19,Direct Deposit,PRPAY-2024-000048,2024-01-22,5
49,49,2024-01-19,ACH,PRPAY-2024-000049,2024-01-22,5
50,50,2024-01-19,ACH,PRPAY-2024-000050,2024-01-22,5
51,51,2024-01-19,ACH,PRPAY-2024-000051,2024-01-22,5
52,52,2024-01-19,ACH,PRPAY-2024-000052,2024-01-22,5
53,53,2024-01-19,ACH,PRPAY-2024-000053,2024-01-22,5
54,54,2024-01-19,Direct Deposit,PRPAY-2024-000054,2024-01-22,5
55,55,2024-01-19,Direct Deposit,PRPAY-2024-000055,2024-01-22,5
56,56,2024-01-19,ACH,PRPAY-2024-000056,2024-01-22,5
57,57,2024-01-19,Direct Deposit,PRPAY-2024-000057,2024-01-22,5
58,58,2024-01-19,Direct Deposit,PRPAY-2024-000058,2024-01-22,5
59,59,2024-01-19,Direct Deposit,PRPAY-2024-000059,2024-01-22,5
60,60,2024-01-19,Direct Deposit,PRPAY-2024-000060,2024-01-22,5
61,61,2024-01-19,ACH,PRPAY-2024-000061,2024-01-22,5
62,62,2024-01-19,ACH,PRPAY-2024-000062,2024-01-22,5
63,63,2024-01-19,ACH,PRPAY-2024-000063,2024-01-22,5
64,64,2024-01-19,Direct Deposit,PRPAY-2024-000064,2024-01-22,5
65,65,2024-01-19,Direct Deposit,PRPAY-2024-000065,2024-01-22,5
66,66,2024-01-19,ACH,PRPAY-2024-000066,2024-01-22,5
67,67,2024-01-19,Direct Deposit,PRPAY-2024-000067,2024-01-22,5
68,68,2024-01-19,ACH,PRPAY-2024-000068,2024-01-22,5
69,69,2024-01-19,Direct Deposit,PRPAY-2024-000069,2024-01-22,5
70,70,2024-01-19,ACH,PRPAY-2024-000070,2024-01-22,5
71,71,2024-01-19,ACH,PRPAY-2024-000071,2024-01-22,5
72,72,2024-01-19,Direct Deposit,PRPAY-2024-000072,2024-01-22,5
73,73,2024-01-19,ACH,PRPAY-2024-000073,2024-01-22,5
74,74,2024-01-19,ACH,PRPAY-2024-000074,2024-01-22,5
75,75,2024-01-19,Direct Deposit,PRPAY-2024-000075,2024-01-22,5
76,76,2024-01-19,ACH,PRPAY-2024-000076,2024-01-22,5
77,77,2024-01-19,ACH,PRPAY-2024-000077,2024-01-22,5
78,78,2024-01-19,Direct Deposit,PRPAY-2024-000078,2024-01-22,5
79,79,2024-01-19,ACH,PRPAY-2024-000079,2024-01-22,5
80,80,2024-01-19,Direct Deposit,PRPAY-2024-000080,2024-01-22,5
81,81,2024-01-19,Direct Deposit,PRPAY-2024-000081,2024-01-22,5
82,82,2024-01-19,ACH,PRPAY-2024-000082,2024-01-22,5
83,83,2024-01-19,Direct Deposit,PRPAY-2024-000083,2024-01-22,5
84,84,2024-01-19,Direct Deposit,PRPAY-2024-000084,2024-01-22,5
85,85,2024-01-19,ACH,PRPAY-2024-000085,2024-01-22,5
86,86,2024-01-19,Direct Deposit,PRPAY-2024-000086,2024-01-22,5
87,87,2024-01-19,ACH,PRPAY-2024-000087,2024-01-22,5
88,88,2024-01-19,ACH,PRPAY-2024-000088,2024-01-22,5
89,89,2024-01-19,Direct Deposit,PRPAY-2024-000089,2024-01-22,5
90,90,2024-01-19,Direct Deposit,PRPAY-2024-000090,2024-01-22,5
91,91,2024-01-19,Direct Deposit,PRPAY-2024-000091,2024-01-22,5
92,92,2024-01-19,ACH,PRPAY-2024-000092,2024-01-22,5
93,93,2024-01-19,Direct Deposit,PRPAY-2024-000093,2024-01-22,5
94,94,2024-01-19,ACH,PRPAY-2024-000094,2024-01-22,5
95,95,2024-01-19,Direct Deposit,PRPAY-2024-000095,2024-01-22,5
96,96,2024-01-19,Direct Deposit,PRPAY-2024-000096,2024-01-22,5
97,97,2024-01-19,ACH,PRPAY-2024-000097,2024-01-22,5
98,98,2024-01-19,ACH,PRPAY-2024-000098,2024-01-22,5
99,99,2024-01-19,Direct Deposit,PRPAY-2024-000099,2024-01-22,5
100,100,2024-01-19,Direct Deposit,PRPAY-2024-000100,2024-01-22,5
101,101,2024-01-19,ACH,PRPAY-2024-000101,2024-01-22,5
102,102,2024-01-19,ACH,PRPAY-2024-000102,2024-01-22,5
103,103,2024-01-19,ACH,PRPAY-2024-000103,2024-01-22,5
104,104,2024-01-19,Direct Deposit,PRPAY-2024-000104,2024-01-22,5
105,105,2024-02-02,Direct Deposit,PRPAY-2024-000105,2024-02-05,5
106,106,2024-02-02,Direct Deposit,PRPAY-2024-000106,2024-02-05,5
107,107,2024-02-02,ACH,PRPAY-2024-000107,2024-02-05,5
108,108,2024-02-02,ACH,PRPAY-2024-000108,2024-02-05,5
109,109,2024-02-02,ACH,PRPAY-2024-000109,2024-02-05,5
110,110,2024-02-02,Direct Deposit,PRPAY-2024-000110,2024-02-05,5
111,111,2024-02-02,ACH,PRPAY-2024-000111,2024-02-05,5
112,112,2024-02-02,ACH,PRPAY-2024-000112,2024-02-05,5
113,113,2024-02-02,ACH,PRPAY-2024-000113,2024-02-05,5
114,114,2024-02-02,ACH,PRPAY-2024-000114,2024-02-05,5
115,115,2024-02-02,Direct Deposit,PRPAY-2024-000115,2024-02-05,5
116,116,2024-02-02,ACH,PRPAY-2024-000116,2024-02-05,5
117,117,2024-02-02,ACH,PRPAY-2024-000117,2024-02-05,5
118,118,2024-02-02,ACH,PRPAY-2024-000118,2024-02-05,5
119,119,2024-02-02,ACH,PRPAY-2024-000119,2024-02-05,5
120,120,2024-02-02,ACH,PRPAY-2024-000120,2024-02-05,5
121,121,2024-02-02,Direct Deposit,PRPAY-2024-000121,2024-02-05,5
122,122,2024-02-02,Direct Deposit,PRPAY-2024-000122,2024-02-05,5
123,123,2024-02-02,Direct Deposit,PRPAY-2024-000123,2024-02-05,5
124,124,2024-02-02,ACH,PRPAY-2024-000124,2024-02-05,5
125,125,2024-02-02,Direct Deposit,PRPAY-2024-000125,2024-02-05,5
126,126,2024-02-02,ACH,PRPAY-2024-000126,2024-02-05,5
127,127,2024-02-02,ACH,PRPAY-2024-000127,2024-02-05,5
128,128,2024-02-02,ACH,PRPAY-2024-000128,2024-02-05,5
129,129,2024-02-02,ACH,PRPAY-2024-000129,2024-02-05,5
130,130,2024-02-02,Direct Deposit,PRPAY-2024-000130,2024-02-05,5
131,131,2024-02-02,ACH,PRPAY-2024-000131,2024-02-05,5
132,132,2024-02-02,ACH,PRPAY-2024-000132,2024-02-05,5
133,133,2024-02-02,ACH,PRPAY-2024-000133,2024-02-05,5
134,134,2024-02-02,Direct Deposit,PRPAY-2024-000134,2024-02-05,5
135,135,2024-02-02,ACH,PRPAY-2024-000135,2024-02-05,5
136,136,2024-02-02,Direct Deposit,PRPAY-2024-000136,2024-02-05,5
137,137,2024-02-02,Direct Deposit,PRPAY-2024-000137,2024-02-05,5
138,138,2024-02-02,Direct Deposit,PRPAY-2024-000138,2024-02-05,5
139,139,2024-02-02,Direct Deposit,PRPAY-2024-000139,2024-02-05,5
140,140,2024-02-02,Direct Deposit,PRPAY-2024-000140,2024-02-05,5
141,141,2024-02-02,ACH,PRPAY-2024-000141,2024-02-05,5
142,142,2024-02-02,ACH,PRPAY-2024-000142,2024-02-05,5
143,143,2024-02-02,ACH,PRPAY-2024-000143,2024-02-05,5
144,144,2024-02-02,Direct Deposit,PRPAY-2024-000144,2024-02-05,5
145,145,2024-02-02,Direct Deposit,PRPAY-2024-000145,2024-02-05,5
146,146,2024-02-02,Direct Deposit,PRPAY-2024-000146,2024-02-05,5
147,147,2024-02-02,Direct Deposit,PRPAY-2024-000147,2024-02-05,5
148,148,2024-02-02,Direct Deposit,PRPAY-2024-000148,2024-02-05,5
149,149,2024-02-02,Direct Deposit,PRPAY-2024-000149,2024-02-05,5
150,150,2024-02-02,Direct Deposit,PRPAY-2024-000150,2024-02-05,5
151,151,2024-02-02,ACH,PRPAY-2024-000151,2024-02-05,5
152,152,2024-02-02,ACH,PRPAY-2024-000152,2024-02-05,5
153,153,2024-02-02,Direct Deposit,PRPAY-2024-000153,2024-02-05,5
154,154,2024-02-02,ACH,PRPAY-2024-000154,2024-02-05,5
155,155,2024-02-02,Direct Deposit,PRPAY-2024-000155,2024-02-05,5
156,156,2024-02-02,Direct Deposit,PRPAY-2024-000156,2024-02-05,5
157,157,2024-02-02,Direct Deposit,PRPAY-2024-000157,2024-02-05,5
158,158,2024-02-02,Direct Deposit,PRPAY-2024-000158,2024-02-05,5
159,159,2024-02-02,ACH,PRPAY-2024-000159,2024-02-05,5
160,160,2024-02-02,Direct Deposit,PRPAY-2024-000160,2024-02-05,5
161,161,2024-02-02,Direct Deposit,PRPAY-2024-000161,2024-02-05,5
162,162,2024-02-02,Direct Deposit,PRPAY-2024-000162,2024-02-05,5
163,163,2024-02-02,Direct Deposit,PRPAY-2024-000163,2024-02-05,5
164,164,2024-02-02,ACH,PRPAY-2024-000164,2024-02-05,5
165,165,2024-02-02,Direct Deposit,PRPAY-2024-000165,2024-02-05,5
166,166,2024-02-02,ACH,PRPAY-2024-000166,2024-02-05,5
167,167,2024-02-02,ACH,PRPAY-2024-000167,2024-02-05,5
168,168,2024-02-02,Direct Deposit,PRPAY-2024-000168,2024-02-05,5
169,169,2024-02-02,ACH,PRPAY-2024-000169,2024-02-05,5
170,170,2024-02-02,ACH,PRPAY-2024-000170,2024-02-05,5
171,171,2024-02-02,ACH,PRPAY-2024-000171,2024-02-05,5
172,172,2024-02-02,ACH,PRPAY-2024-000172,2024-02-05,5
173,173,2024-02-02,Direct Deposit,PRPAY-2024-000173,2024-02-05,5
174,174,2024-02-02,ACH,PRPAY-2024-000174,2024-02-05,5
175,175,2024-02-02,ACH,PRPAY-2024-000175,2024-02-05,5
176,176,2024-02-02,Direct Deposit,PRPAY-2024-000176,2024-02-05,5
177,177,2024-02-02,ACH,PRPAY-2024-000177,2024-02-05,5
178,178,2024-02-02,ACH,PRPAY-2024-000178,2024-02-05,5
179,179,2024-02-02,ACH,PRPAY-2024-000179,2024-02-05,5
180,180,2024-02-02,Direct Deposit,PRPAY-2024-000180,2024-02-05,5
181,181,2024-02-02,ACH,PRPAY-2024-000181,2024-02-05,5
182,182,2024-02-02,ACH,PRPAY-2024-000182,2024-02-05,5
183,183,2024-02-02,Direct Deposit,PRPAY-2024-000183,2024-02-05,5
184,184,2024-02-02,ACH,PRPAY-2024-000184,2024-02-05,5
185,185,2024-02-02,Direct Deposit,PRPAY-2024-000185,2024-02-05,5
186,186,2024-02-02,ACH,PRPAY-2024-000186,2024-02-05,5
187,187,2024-02-02,Direct Deposit,PRPAY-2024-000187,2024-02-05,5
188,188,2024-02-02,Direct Deposit,PRPAY-2024-000188,2024-02-05,5
189,189,2024-02-02,ACH,PRPAY-2024-000189,2024-02-05,5
190,190,2024-02-02,ACH,PRPAY-2024-000190,2024-02-05,5
191,191,2024-02-02,ACH,PRPAY-2024-000191,2024-02-05,5
192,192,2024-02-02,ACH,PRPAY-2024-000192,2024-02-05,5
193,193,2024-02-02,Direct Deposit,PRPAY-2024-000193,2024-02-05,5
194,194,2024-02-02,ACH,PRPAY-2024-000194,2024-02-05,5
195,195,2024-02-02,ACH,PRPAY-2024-000195,2024-02-05,5
196,196,2024-02-02,ACH,PRPAY-2024-000196,2024-02-05,5
197,197,2024-02-02,ACH,PRPAY-2024-000197,2024-02-05,5
198,198,2024-02-02,ACH,PRPAY-2024-000198,2024-02-05,5
199,199,2024-02-02,Direct Deposit,PRPAY-2024-000199,2024-02-05,5
200,200,2024-02-02,ACH,PRPAY-2024-000200,2024-02-05,5
201,201,2024-02-02,Direct Deposit,PRPAY-2024-000201,2024-02-05,5
202,202,2024-02-02,Direct Deposit,PRPAY-2024-000202,2024-02-05,5
203,203,2024-02-02,ACH,PRPAY-2024-000203,2024-02-05,5
204,204,2024-02-02,ACH,PRPAY-2024-000204,2024-02-05,5
205,205,2024-02-02,ACH,PRPAY-2024-000205,2024-02-05,5
206,206,2024-02-02,Direct Deposit,PRPAY-2024-000206,2024-02-05,5
207,207,2024-02-02,Direct Deposit,PRPAY-2024-000207,2024-02-05,5
208,208,2024-02-02,Direct Deposit,PRPAY-2024-000208,2024-02-05,5
209,209,2024-02-02,ACH,PRPAY-2024-000209,2024-02-05,5
210,210,2024-02-16,Direct Deposit,PRPAY-2024-000210,2024-02-19,5
211,211,2024-02-16,Direct Deposit,PRPAY-2024-000211,2024-02-19,5
212,212,2024-02-16,Direct Deposit,PRPAY-2024-000212,2024-02-19,5
213,213,2024-02-16,ACH,PRPAY-2024-000213,2024-02-19,5
214,214,2024-02-16,Direct Deposit,PRPAY-2024-000214,2024-02-19,5
215,215,2024-02-16,ACH,PRPAY-2024-000215,2024-02-19,5
216,216,2024-02-16,Direct Deposit,PRPAY-2024-000216,2024-02-19,5
217,217,2024-02-16,Direct Deposit,PRPAY-2024-000217,2024-02-19,5
218,218,2024-02-16,Direct Deposit,PRPAY-2024-000218,2024-02-19,5
219,219,2024-02-16,ACH,PRPAY-2024-000219,2024-02-19,5
220,220,2024-02-16,Direct Deposit,PRPAY-2024-000220,2024-02-19,5
221,221,2024-02-16,Direct Deposit,PRPAY-2024-000221,2024-02-19,5
222,222,2024-02-16,Direct Deposit,PRPAY-2024-000222,2024-02-19,5
223,223,2024-02-16,ACH,PRPAY-2024-000223,2024-02-19,5
224,224,2024-02-16,ACH,PRPAY-2024-000224,2024-02-19,5
225,225,2024-02-16,Direct Deposit,PRPAY-2024-000225,2024-02-19,5
226,226,2024-02-16,ACH,PRPAY-2024-000226,2024-02-19,5
227,227,2024-02-16,ACH,PRPAY-2024-000227,2024-02-19,5
228,228,2024-02-16,ACH,PRPAY-2024-000228,2024-02-19,5
229,229,2024-02-16,ACH,PRPAY-2024-000229,2024-02-19,5
230,230,2024-02-16,Direct Deposit,PRPAY-2024-000230,2024-02-19,5
231,231,2024-02-16,ACH,PRPAY-2024-000231,2024-02-19,5
232,232,2024-02-16,ACH,PRPAY-2024-000232,2024-02-19,5
233,233,2024-02-16,Direct Deposit,PRPAY-2024-000233,2024-02-19,5
234,234,2024-02-16,Direct Deposit,PRPAY-2024-000234,2024-02-19,5
235,235,2024-02-16,Direct Deposit,PRPAY-2024-000235,2024-02-19,5
236,236,2024-02-16,Direct Deposit,PRPAY-2024-000236,2024-02-19,5
237,237,2024-02-16,ACH,PRPAY-2024-000237,2024-02-19,5
238,238,2024-02-16,Direct Deposit,PRPAY-2024-000238,2024-02-19,5
239,239,2024-02-16,Direct Deposit,PRPAY-2024-000239,2024-02-19,5
240,240,2024-02-16,ACH,PRPAY-2024-000240,2024-02-19,5
241,241,2024-02-16,Direct Deposit,PRPAY-2024-000241,2024-02-19,5
242,242,2024-02-16,ACH,PRPAY-2024-000242,2024-02-19,5
243,243,2024-02-16,ACH,PRPAY-2024-000243,2024-02-19,5
244,244,2024-02-16,Direct Deposit,PRPAY-2024-000244,2024-02-19,5
245,245,2024-02-16,ACH,PRPAY-2024-000245,2024-02-19,5
246,246,2024-02-16,ACH,PRPAY-2024-000246,2024-02-19,5
247,247,2024-02-16,ACH,PRPAY-2024-000247,2024-02-19,5
248,248,2024-02-16,Direct Deposit,PRPAY-2024-000248,2024-02-19,5
249,249,2024-02-16,ACH,PRPAY-2024-000249,2024-02-19,5
250,250,2024-02-16,Direct Deposit,PRPAY-2024-000250,2024-02-19,5
251,251,2024-02-16,Direct Deposit,PRPAY-2024-000251,2024-02-19,5
252,252,2024-02-16,Direct Deposit,PRPAY-2024-000252,2024-02-19,5
253,253,2024-02-16,ACH,PRPAY-2024-000253,2024-02-19,5
254,254,2024-02-16,Direct Deposit,PRPAY-2024-000254,2024-02-19,5
255,255,2024-02-16,Direct Deposit,PRPAY-2024-000255,2024-02-19,5
256,256,2024-02-16,Direct Deposit,PRPAY-2024-000256,2024-02-19,5
257,257,2024-02-16,ACH,PRPAY-2024-000257,2024-02-19,5
258,258,2024-02-16,Direct Deposit,PRPAY-2024-000258,2024-02-19,5
259,259,2024-02-16,ACH,PRPAY-2024-000259,2024-02-19,5
260,260,2024-02-16,ACH,PRPAY-2024-000260,2024-02-19,5
261,261,2024-02-16,ACH,PRPAY-2024-000261,2024-02-19,5
262,262,2024-02-16,ACH,PRPAY-2024-000262,2024-02-19,5
263,263,2024-02-16,ACH,PRPAY-2024-000263,2024-02-19,5
264,264,2024-02-16,ACH,PRPAY-2024-000264,2024-02-19,5
265,265,2024-02-16,ACH,PRPAY-2024-000265,2024-02-19,5
266,266,2024-02-16,Direct Deposit,PRPAY-2024-000266,2024-02-19,5
267,267,2024-02-16,ACH,PRPAY-2024-000267,2024-02-19,5
268,268,2024-02-16,ACH,PRPAY-2024-000268,2024-02-19,5
269,269,2024-02-16,Direct Deposit,PRPAY-2024-000269,2024-02-19,5
270,270,2024-02-16,ACH,PRPAY-2024-000270,2024-02-19,5
271,271,2024-02-16,Direct Deposit,PRPAY-2024-000271,2024-02-19,5
272,272,2024-02-16,Direct Deposit,PRPAY-2024-000272,2024-02-19,5
273,273,2024-02-16,Direct Deposit,PRPAY-2024-000273,2024-02-19,5
274,274,2024-02-16,Direct Deposit,PRPAY-2024-000274,2024-02-19,5
275,275,2024-02-16,ACH,PRPAY-2024-000275,2024-02-19,5
276,276,2024-02-16,Direct Deposit,PRPAY-2024-000276,2024-02-19,5
277,277,2024-02-16,ACH,PRPAY-2024-000277,2024-02-19,5
278,278,2024-02-16,ACH,PRPAY-2024-000278,2024-02-19,5
279,279,2024-02-16,Direct Deposit,PRPAY-2024-000279,2024-02-19,5
280,280,2024-02-16,Direct Deposit,PRPAY-2024-000280,2024-02-19,5
281,281,2024-02-16,Direct Deposit,PRPAY-2024-000281,2024-02-19,5
282,282,2024-02-16,Direct Deposit,PRPAY-2024-000282,2024-02-19,5
283,283,2024-02-16,ACH,PRPAY-2024-000283,2024-02-19,5
284,284,2024-02-16,Direct Deposit,PRPAY-2024-000284,2024-02-19,5
285,285,2024-02-16,Direct Deposit,PRPAY-2024-000285,2024-02-19,5
286,286,2024-02-16,Direct Deposit,PRPAY-2024-000286,2024-02-19,5
287,287,2024-02-16,ACH,PRPAY-2024-000287,2024-02-19,5
288,288,2024-02-16,Direct Deposit,PRPAY-2024-000288,2024-02-19,5
289,289,2024-02-16,Direct Deposit,PRPAY-2024-000289,2024-02-19,5
290,290,2024-02-16,Direct Deposit,PRPAY-2024-000290,2024-02-19,5
291,291,2024-02-16,Direct Deposit,PRPAY-2024-000291,2024-02-19,5
292,292,2024-02-16,ACH,PRPAY-2024-000292,2024-02-19,5
293,293,2024-02-16,ACH,PRPAY-2024-000293,2024-02-19,5
294,294,2024-02-16,Direct Deposit,PRPAY-2024-000294,2024-02-19,5
295,295,2024-02-16,Direct Deposit,PRPAY-2024-000295,2024-02-19,5
296,296,2024-02-16,Direct Deposit,PRPAY-2024-000296,2024-02-19,5
297,297,2024-02-16,Direct Deposit,PRPAY-2024-000297,2024-02-19,5
298,298,2024-02-16,ACH,PRPAY-2024-000298,2024-02-19,5
299,299,2024-02-16,ACH,PRPAY-2024-000299,2024-02-19,5
300,300,2024-02-16,Direct Deposit,PRPAY-2024-000300,2024-02-19,5
301,301,2024-02-16,Direct Deposit,PRPAY-2024-000301,2024-02-19,5
302,302,2024-02-16,Direct Deposit,PRPAY-2024-000302,2024-02-19,5
303,303,2024-02-16,ACH,PRPAY-2024-000303,2024-02-19,5
304,304,2024-02-16,Direct Deposit,PRPAY-2024-000304,2024-02-19,5
305,305,2024-02-16,Direct Deposit,PRPAY-2024-000305,2024-02-19,5
306,306,2024-02-16,Direct Deposit,PRPAY-2024-000306,2024-02-19,5
307,307,2024-02-16,Direct Deposit,PRPAY-2024-000307,2024-02-19,5
308,308,2024-02-16,ACH,PRPAY-2024-000308,2024-02-19,5
309,309,2024-02-16,Direct Deposit,PRPAY-2024-000309,2024-02-19,5
310,310,2024-02-16,Direct Deposit,PRPAY-2024-000310,2024-02-19,5
311,311,2024-02-16,Direct Deposit,PRPAY-2024-000311,2024-02-19,5
312,312,2024-02-16,Direct Deposit,PRPAY-2024-000312,2024-02-19,5
313,313,2024-02-16,Direct Deposit,PRPAY-2024-000313,2024-02-19,5
314,314,2024-02-16,Direct Deposit,PRPAY-2024-000314,2024-02-19,5
315,315,2024-03-01,Direct Deposit,PRPAY-2024-000315,2024-03-04,5
316,316,2024-03-01,Direct Deposit,PRPAY-2024-000316,2024-03-04,5
317,317,2024-03-01,ACH,PRPAY-2024-000317,2024-03-04,5
318,318,2024-03-01,ACH,PRPAY-2024-000318,2024-03-04,5
319,319,2024-03-01,ACH,PRPAY-2024-000319,2024-03-04,5
320,320,2024-03-01,Direct Deposit,PRPAY-2024-000320,2024-03-04,5
321,321,2024-03-01,ACH,PRPAY-2024-000321,2024-03-04,5
322,322,2024-03-01,ACH,PRPAY-2024-000322,2024-03-04,5
323,323,2024-03-01,ACH,PRPAY-2024-000323,2024-03-04,5
324,324,2024-03-01,ACH,PRPAY-2024-000324,2024-03-04,5
325,325,2024-03-01,Direct Deposit,PRPAY-2024-000325,2024-03-04,5
326,326,2024-03-01,ACH,PRPAY-2024-000326,2024-03-04,5
327,327,2024-03-01,ACH,PRPAY-2024-000327,2024-03-04,5
328,328,2024-03-01,ACH,PRPAY-2024-000328,2024-03-04,5
329,329,2024-03-01,ACH,PRPAY-2024-000329,2024-03-04,5
330,330,2024-03-01,ACH,PRPAY-2024-000330,2024-03-04,5
331,331,2024-03-01,Direct Deposit,PRPAY-2024-000331,2024-03-04,5
332,332,2024-03-01,Direct Deposit,PRPAY-2024-000332,2024-03-04,5
333,333,2024-03-01,Direct Deposit,PRPAY-2024-000333,2024-03-04,5
334,334,2024-03-01,ACH,PRPAY-2024-000334,2024-03-04,5
335,335,2024-03-01,Direct Deposit,PRPAY-2024-000335,2024-03-04,5
336,336,2024-03-01,ACH,PRPAY-2024-000336,2024-03-04,5
337,337,2024-03-01,ACH,PRPAY-2024-000337,2024-03-04,5
338,338,2024-03-01,ACH,PRPAY-2024-000338,2024-03-04,5
339,339,2024-03-01,ACH,PRPAY-2024-000339,2024-03-04,5
340,340,2024-03-01,Direct Deposit,PRPAY-2024-000340,2024-03-04,5
341,341,2024-03-01,ACH,PRPAY-2024-000341,2024-03-04,5
342,342,2024-03-01,ACH,PRPAY-2024-000342,2024-03-04,5
343,343,2024-03-01,ACH,PRPAY-2024-000343,2024-03-04,5
344,344,2024-03-01,Direct Deposit,PRPAY-2024-000344,2024-03-04,5
345,345,2024-03-01,ACH,PRPAY-2024-000345,2024-03-04,5
346,346,2024-03-01,Direct Deposit,PRPAY-2024-000346,2024-03-04,5
347,347,2024-03-01,Direct Deposit,PRPAY-2024-000347,2024-03-04,5
348,348,2024-03-01,Direct Deposit,PRPAY-2024-000348,2024-03-04,5
349,349,2024-03-01,Direct Deposit,PRPAY-2024-000349,2024-03-04,5
350,350,2024-03-01,Direct Deposit,PRPAY-2024-000350,2024-03-04,5
351,351,2024-03-01,ACH,PRPAY-2024-000351,2024-03-04,5
352,352,2024-03-01,ACH,PRPAY-2024-000352,2024-03-04,5
353,353,2024-03-01,ACH,PRPAY-2024-000353,2024-03-04,5
354,354,2024-03-01,Direct Deposit,PRPAY-2024-000354,2024-03-04,5
355,355,2024-03-01,Direct Deposit,PRPAY-2024-000355,2024-03-04,5
356,356,2024-03-01,Direct Deposit,PRPAY-2024-000356,2024-03-04,5
357,357,2024-03-01,Direct Deposit,PRPAY-2024-000357,2024-03-04,5
358,358,2024-03-01,Direct Deposit,PRPAY-2024-000358,2024-03-04,5
359,359,2024-03-01,Direct Deposit,PRPAY-2024-000359,2024-03-04,5
360,360,2024-03-01,Direct Deposit,PRPAY-2024-000360,2024-03-04,5
361,361,2024-03-01,ACH,PRPAY-2024-000361,2024-03-04,5
362,362,2024-03-01,ACH,PRPAY-2024-000362,2024-03-04,5
363,363,2024-03-01,Direct Deposit,PRPAY-2024-000363,2024-03-04,5
364,364,2024-03-01,ACH,PRPAY-2024-000364,2024-03-04,5
365,365,2024-03-01,Direct Deposit,PRPAY-2024-000365,2024-03-04,5
