CashReceiptID,ReceiptNumber,ReceiptDate,CustomerID,SalesInvoiceID,Amount,PaymentMethod,ReferenceNumber,DepositDate,RecordedByEmployeeID
39,CR-2024-000039,2024-01-22,113,,907.83,Credit Card,AR00000039,2024-01-22,11
40,CR-2024-000040,2024-01-23,114,35.0,271.06,Check,AR00000040,2024-01-23,11
41,CR-2024-000041,2024-01-20,115,,460.04,Wire Transfer,AR00000041,2024-01-22,11
42,CR-2024-000042,2024-01-22,119,,457.33,Check,AR00000042,2024-01-22,11
43,CR-2024-000043,2024-01-23,120,,1413.08,Wire Transfer,AR00000043,2024-01-23,97
44,CR-2024-000044,2024-01-24,121,,692.32,Credit Card,AR00000044,2024-01-26,115
45,CR-2024-000045,2024-01-23,124,,162.99,Check,AR00000045,2024-01-23,97
46,CR-2024-000046,2024-01-21,125,,847.72,Check,AR00000046,2024-01-21,97
47,CR-2024-000047,2024-01-22,129,,653.82,Check,AR00000047,2024-01-22,11
48,CR-2024-000048,2024-01-20,130,,238.16,Wire Transfer,AR00000048,2024-01-22,97
49,CR-2024-000049,2024-01-20,136,,746.49,Wire Transfer,AR00000049,2024-01-20,115
50,CR-2024-000050,2024-01-24,138,,858.59,Wire Transfer,AR00000050,2024-01-26,11
51,CR-2024-000051,2024-01-22,140,,180.18,ACH,AR00000051,2024-01-22,11
52,CR-2024-000052,2024-01-22,141,,631.1,Wire Transfer,AR00000052,2024-01-24,115
53,CR-2024-000053,2024-01-24,142,122.0,155.2,ACH,AR00000053,2024-01-25,97
54,CR-2024-000054,2024-01-24,147,,955.77,Credit Card,AR00000054,2024-01-25,11
55,CR-2024-000055,2024-01-22,150,,913.13,Wire Transfer,AR00000055,2024-01-24,11
56,CR-2024-000056,2024-01-24,156,,2821.44,Check,AR00000056,2024-01-25,11
57,CR-2024-000057,2024-01-24,157,,581.05,ACH,AR00000057,2024-01-25,97
58,CR-2024-000058,2024-01-21,158,,153.82,Check,AR00000058,2024-01-21,97
59,CR-2024-000059,2024-01-22,161,,1353.77,Wire Transfer,AR00000059,2024-01-22,115
60,CR-2024-000060,2024-01-22,162,92.0,217.33,Credit Card,AR00000060,2024-01-23,11
61,CR-2024-000061,2024-01-23,166,,154.59,Wire Transfer,AR00000061,2024-01-25,97
62,CR-2024-000062,2024-01-20,170,44.0,99.06,Check,AR00000062,2024-01-21,97
63,CR-2024-000063,2024-01-23,173,28.0,218.33,Credit Card,AR00000063,2024-01-25,115
64,CR-2024-000064,2024-01-24,174,,183.92,Check,AR00000064,2024-01-25,115
65,CR-2024-000065,2024-01-24,176,2.0,1784.55,Wire Transfer,AR00000065,2024-01-24,115
66,CR-2024-000066,2024-01-20,179,,1745.16,Credit Card,AR00000066,2024-01-21,97
67,CR-2024-000067,2024-01-22,182,,446.18,Check,AR00000067,2024-01-22,115
68,CR-2024-000068,2024-01-24,183,,160.28,ACH,AR00000068,2024-01-26,115
69,CR-2024-000069,2024-01-21,185,6.0,804.17,Wire Transfer,AR00000069,2024-01-22,11
70,CR-2024-000070,2024-01-21,187,,1859.17,Check,AR00000070,2024-01-21,115
71,CR-2024-000071,2024-01-21,188,,652.68,Credit Card,AR00000071,2024-01-22,11
72,CR-2024-000072,2024-01-23,191,,493.91,Wire Transfer,AR00000072,2024-01-23,11
73,CR-2024-000073,2024-01-21,193,,635.09,Wire Transfer,AR00000073,2024-01-22,97
74,CR-2024-000074,2024-01-22,194,,5140.05,Wire Transfer,AR00000074,2024-01-23,115
75,CR-2024-000075,2024-01-20,197,34.0,2023.13,ACH,AR00000075,2024-01-20,97
76,CR-2024-000076,2024-01-24,199,,336.1,Wire Transfer,AR00000076,2024-01-25,97
77,CR-2024-000077,2024-01-21,200,,175.85,Check,AR00000077,2024-01-21,97
78,CR-2024-000078,2024-01-21,201,,31.73,Check,AR00000078,2024-01-22,11
79,CR-2024-000079,2024-01-21,202,4.0,528.53,Check,AR00000079,2024-01-23,97
80,CR-2024-000080,2024-01-20,204,15.0,882.0,ACH,AR00000080,2024-01-21,115
81,CR-2024-000081,2024-01-22,205,,340.46,ACH,AR00000081,2024-01-24,97
82,CR-2024-000082,2024-01-23,206,51.0,227.44,ACH,AR00000082,2024-01-25,115
83,CR-2024-000083,2024-01-22,208,,473.97,Credit Card,AR00000083,2024-01-24,97
84,CR-2024-000084,2024-01-20,209,,3530.61,ACH,AR00000084,2024-01-21,115
85,CR-2024-000085,2024-02-14,133,,1432.94,Check,DEP00000085,2024-02-14,97
86,CR-2024-000086,2024-02-21,173,,5632.98,Wire Transfer,DEP00000086,2024-02-21,115
87,CR-2024-000087,2024-02-13,141,,6940.06,ACH,DEP00000087,2024-02-13,11
88,CR-2024-000088,2024-02-23,174,,3070.65,Check,DEP00000088,2024-02-23,97
89,CR-2024-000089,2024-02-19,1,,33545.24,ACH,AR00000089,2024-02-21,115
90,CR-2024-000090,2024-02-24,1,,38015.13,Wire Transfer,AR00000090,2024-02-25,11
91,CR-2024-000091,2024-02-21,4,,6289.45,Credit Card,AR00000091,2024-02-22,97
92,CR-2024-000092,2024-02-20,5,,1409.1,ACH,AR00000092,2024-02-21,97
93,CR-2024-000093,2024-02-23,7,,166.77,Wire Transfer,AR00000093,2024-02-25,11
94,CR-2024-000094,2024-02-20,8,,253.02,Check,AR00000094,2024-02-21,115
95,CR-2024-000095,2024-02-24,9,193.0,1142.51,Check,AR00000095,2024-02-24,97
96,CR-2024-000096,2024-02-24,11,304.0,2494.01,ACH,AR00000096,2024-02-26,115
97,CR-2024-000097,2024-02-20,12,,2882.55,ACH,AR00000097,2024-02-22,115
98,CR-2024-000098,2024-02-23,13,,2154.2,Check,AR00000098,2024-02-24,115
99,CR-2024-000099,2024-02-21,15,,204.09,Wire Transfer,AR00000099,2024-02-22,11
100,CR-2024-000100,2024-02-23,19,,446.65,Check,AR00000100,2024-02-24,11
101,CR-2024-000101,2024-02-21,20,,6473.87,Credit Card,AR00000101,2024-02-22,11
102,CR-2024-000102,2024-02-16,21,,3786.29,Check,AR00000102,2024-02-16,115
103,CR-2024-000103,2024-02-24,22,,735.24,ACH,AR00000103,2024-02-25,97
104,CR-2024-000104,2024-02-24,23,199.0,559.68,Wire Transfer,AR00000104,2024-02-24,115
105,CR-2024-000105,2024-02-23,24,,841.84,Wire Transfer,AR00000105,2024-02-23,115
106,CR-2024-000106,2024-02-24,25,,335.47,Wire Transfer,AR00000106,2024-02-26,11
107,CR-2024-000107,2024-02-20,26,,1981.73,ACH,AR00000107,2024-02-22,11
108,CR-2024-000108,2024-02-24,27,604.0,328.83,Check,AR00000108,2024-02-24,115
109,CR-2024-000109,2024-02-22,29,244.0,316.53,ACH,AR00000109,2024-02-24,115
110,CR-2024-000110,2024-02-22,30,,2867.97,ACH,AR00000110,2024-02-22,115
111,CR-2024-000111,2024-02-22,32,209.0,1651.11,ACH,AR00000111,2024-02-23,97
112,CR-2024-000112,2024-02-23,33,,1030.31,Wire Transfer,AR00000112,2024-02-23,115
113,CR-2024-000113,2024-02-20,34,,12827.77,Credit Card,AR00000113,2024-02-21,115
114,CR-2024-000114,2024-02-22,39,247.0,2332.38,ACH,AR00000114,2024-02-24,11
115,CR-2024-000115,2024-02-20,43,,4862.46,ACH,AR00000115,2024-02-20,11
116,CR-2024-000116,2024-02-18,44,,13703.94,ACH,AR00000116,2024-02-18,97
117,CR-2024-000117,2024-02-24,45,,703.35,Check,AR00000117,2024-02-25,97
118,CR-2024-000118,2024-02-23,46,,1498.51,Check,AR00000118,2024-02-25,97
119,CR-2024-000119,2024-02-17,49,,7710.65,Check,AR00000119,2024-02-17,115
120,CR-2024-000120,2024-02-19,50,,2455.47,Check,AR00000120,2024-02-21,115
121,CR-2024-000121,2024-02-21,51,,659.49,Credit Card,AR00000121,2024-02-22,97
122,CR-2024-000122,2024-02-17,55,,2418.55,Wire Transfer,AR00000122,2024-02-17,11
123,CR-2024-000123,2024-02-24,56,,145.19,Credit Card,AR00000123,2024-02-26,97
124,CR-2024-000124,2024-02-24,57,,307.45,Wire Transfer,AR00000124,2024-02-24,11
125,CR-2024-000125,2024-02-24,59,12.0,849.34,Wire Transfer,AR00000125,2024-02-26,115
126,CR-2024-000126,2024-02-23,62,,2850.2,ACH,AR00000126,2024-02-25,97
127,CR-2024-000127,2024-02-23,63,,2711.02,Wire Transfer,AR00000127,2024-02-23,11
128,CR-2024-000128,2024-02-22,65,,274.28,Check,AR00000128,2024-02-23,97
129,CR-2024-000129,2024-02-21,67,,437.75,ACH,AR00000129,2024-02-22,97
130,CR-2024-000130,2024-02-20,68,,1308.82,Credit Card,AR00000130,2024-02-21,115
131,CR-2024-000131,2024-02-24,69,,193.98,Wire Transfer,AR00000131,2024-02-24,97
132,CR-2024-000132,2024-02-24,72,,6987.41,Check,AR00000132,2024-02-25,11
133,CR-2024-000133,2024-02-20,74,,1114.9,Wire Transfer,AR00000133,2024-02-20,11
134,CR-2024-000134,2024-02-23,75,,588.57,Credit Card,AR00000134,2024-02-23,11
135,CR-2024-000135,2024-02-20,76,,166.99,ACH,AR00000135,2024-02-20,11
136,CR-2024-000136,2024-02-23,78,233.0,1668.97,Wire Transfer,AR00000136,2024-02-25,115
137,CR-2024-000137,2024-02-21,79,,293.0,ACH,AR00000137,2024-02-22,97
138,CR-2024-000138,2024-02-20,81,,6171.86,ACH,AR00000138,2024-02-21,115
139,CR-2024-000139,2024-02-23,82,,1505.69,Wire Transfer,AR00000139,2024-02-23,97
140,CR-2024-000140,2024-02-18,83,,3854.15,ACH,AR00000140,2024-02-19,11
141,CR-2024-000141,2024-02-23,84,,258.75,Check,AR00000141,2024-02-23,11
142,CR-2024-000142,2024-02-23,85,,441.39,ACH,AR00000142,2024-02-23,97
143,CR-2024-000143,2024-02-22,86,,151.29,Wire Transfer,AR00000143,2024-02-24,11
144,CR-2024-000144,2024-02-21,88,,1046.65,Wire Transfer,AR00000144,2024-02-23,97
145,CR-2024-000145,2024-02-21,92,,269.16,Credit Card,AR00000145,2024-02-21,11
146,CR-2024-000146,2024-02-17,93,,1084.83,Wire Transfer,AR00000146,2024-02-17,11
147,CR-2024-000147,2024-02-24,95,483.0,1819.51,Credit Card,AR00000147,2024-02-24,115
148,CR-2024-000148,2024-02-16,96,,3390.1,Credit Card,AR00000148,2024-02-17,11
149,CR-2024-000149,2024-02-23,98,,1901.43,Wire Transfer,AR00000149,2024-02-24,115
150,CR-2024-000150,2024-02-20,99,,842.81,Wire Transfer,AR00000150,2024-02-21,11
151,CR-2024-000151,2024-02-22,101,,3086.33,Credit Card,AR00000151,2024-02-23,11
152,CR-2024-000152,2024-02-22,104,,1958.77,Check,AR00000152,2024-02-24,115
153,CR-2024-000153,2024-02-18,106,,30933.1,Credit Card,AR00000153,2024-02-18,11
154,CR-2024-000154,2024-02-23,107,,3784.68,Wire Transfer,AR00000154,2024-02-25,115
155,CR-2024-000155,2024-02-24,108,,746.55,Credit Card,AR00000155,2024-02-26,115
156,CR-2024-000156,2024-02-24,109,372.0,2174.43,Check,AR00000156,2024-02-26,11
157,CR-2024-000157,2024-02-21,110,,909.86,Wire Transfer,AR00000157,2024-02-22,115
158,CR-2024-000158,2024-02-19,113,,10242.25,Credit Card,AR00000158,2024-02-21,97
159,CR-2024-000159,2024-02-18,114,,2484.75,ACH,AR00000159,2024-02-18,97
160,CR-2024-000160,2024-02-20,115,,3666.61,Check,AR00000160,2024-02-21,97
161,CR-2024-000161,2024-02-21,116,,664.61,Wire Transfer,AR00000161,2024-02-21,11
162,CR-2024-000162,2024-02-22,117,536.0,165.93,Credit Card,AR00000162,2024-02-24,11
163,CR-2024-000163,2024-02-24,118,,2715.85,Check,AR00000163,2024-02-25,11
164,CR-2024-000164,2024-02-24,119,,2009.87,Check,AR00000164,2024-02-25,115
165,CR-2024-000165,2024-02-17,120,,18938.14,Credit Card,AR00000165,2024-02-18,11
166,CR-2024-000166,2024-02-20,121,,6045.47,Check,AR00000166,2024-02-21,11
167,CR-2024-000167,2024-02-23,122,303.0,369.3,Check,AR00000167,2024-02-23,11
168,CR-2024-000168,2024-02-24,123,,2074.61,Credit Card,AR00000168,2024-02-25,11
169,CR-2024-000169,2024-02-22,124,,1154.01,ACH,AR00000169,2024-02-24,97
170,CR-2024-000170,2024-02-22,125,227.0,2922.91,Credit Card,AR00000170,2024-02-23,11
171,CR-2024-000171,2024-02-24,128,,347.59,Check,AR00000171,2024-02-25,97
172,CR-2024-000172,2024-02-23,129,,2848.99,Check,AR00000172,2024-02-24,11
173,CR-2024-000173,2024-02-22,130,,952.07,Credit Card,AR00000173,2024-02-23,11
174,CR-2024-000174,2024-02-23,131,,340.49,Check,AR00000174,2024-02-23,115
175,CR-2024-000175,2024-02-24,136,,6510.63,Check,AR00000175,2024-02-25,115
176,CR-2024-000176,2024-02-24,138,,1820.55,ACH,AR00000176,2024-02-26,115
177,CR-2024-000177,2024-02-21,140,,660.24,Check,AR00000177,2024-02-21,115
178,CR-2024-000178,2024-02-20,141,,4791.32,Check,AR00000178,2024-02-22,115
179,CR-2024-000179,2024-02-21,142,122.0,599.22,Credit Card,AR00000179,2024-02-23,11
180,CR-2024-000180,2024-02-23,144,,797.99,Credit Card,AR00000180,2024-02-25,115
181,CR-2024-000181,2024-02-24,146,,1680.04,Wire Transfer,AR00000181,2024-02-25,115
182,CR-2024-000182,2024-02-18,147,,6403.91,Check,AR00000182,2024-02-19,115
183,CR-2024-000183,2024-02-17,150,,7641.91,ACH,AR00000183,2024-02-19,97
184,CR-2024-000184,2024-02-23,154,,3551.3,Check,AR00000184,2024-02-23,97
185,CR-2024-000185,2024-02-22,155,,481.48,ACH,AR00000185,2024-02-23,115
186,CR-2024-000186,2024-02-16,156,,23671.88,Check,AR00000186,2024-02-16,115
187,CR-2024-000187,2024-02-16,157,,3469.35,Check,AR00000187,2024-02-17,97
188,CR-2024-000188,2024-02-21,161,,8881.95,Wire Transfer,AR00000188,2024-02-22,115
189,CR-2024-000189,2024-02-24,162,,3104.03,Check,AR00000189,2024-02-25,115
190,CR-2024-000190,2024-02-21,166,,1963.48,ACH,AR00000190,2024-02-22,97
191,CR-2024-000191,2024-02-20,170,,825.63,Check,AR00000191,2024-02-22,11
192,CR-2024-000192,2024-02-24,172,447.0,210.33,Wire Transfer,AR00000192,2024-02-24,11
193,CR-2024-000193,2024-02-21,173,,1364.25,Credit Card,AR00000193,2024-02-22,11
194,CR-2024-000194,2024-02-22,174,5.0,2070.45,Credit Card,AR00000194,2024-02-23,97
195,CR-2024-000195,2024-02-24,175,,330.1,Check,AR00000195,2024-02-24,97
196,CR-2024-000196,2024-02-17,176,,3972.12,Wire Transfer,AR00000196,2024-02-19,97
197,CR-2024-000197,2024-02-16,179,,9650.35,ACH,AR00000197,2024-02-16,115
198,CR-2024-000198,2024-02-20,180,,304.79,Wire Transfer,AR00000198,2024-02-20,115
199,CR-2024-000199,2024-02-22,182,259.0,2083.34,Credit Card,AR00000199,2024-02-23,97
200,CR-2024-000200,2024-02-20,183,,286.83,ACH,AR00000200,2024-02-21,11
201,CR-2024-000201,2024-02-23,184,,410.47,ACH,AR00000201,2024-02-25,11
202,CR-2024-000202,2024-02-19,185,,7375.19,Wire Transfer,AR00000202,2024-02-20,97
203,CR-2024-000203,2024-02-22,186,,269.65,Credit Card,AR00000203,2024-02-24,97
204,CR-2024-000204,2024-02-20,187,,10128.35,Wire Transfer,AR00000204,2024-02-21,115
205,CR-2024-000205,2024-02-24,188,,2738.0,Check,AR00000205,2024-02-24,97
206,CR-2024-000206,2024-02-21,191,237.0,1528.24,Check,AR00000206,2024-02-23,97
207,CR-2024-000207,2024-02-20,192,,7399.85,Wire Transfer,AR00000207,2024-02-20,115
208,CR-2024-000208,2024-02-24,193,,4142.8,ACH,AR00000208,2024-02-26,115
209,CR-2024-000209,2024-02-19,194,,30806.99,Credit Card,AR00000209,2024-02-19,11
210,CR-2024-000210,2024-02-22,196,,860.72,Wire Transfer,AR00000210,2024-02-23,11
211,CR-2024-000211,2024-02-18,197,,9303.17,Check,AR00000211,2024-02-20,115
212,CR-2024-000212,2024-02-21,198,,3328.48,ACH,AR00000212,2024-02-22,11
213,CR-2024-000213,2024-02-23,199,,4232.3,Wire Transfer,AR00000213,2024-02-23,97
214,CR-2024-000214,2024-02-22,200,214.0,1749.83,ACH,AR00000214,2024-02-22,11
215,CR-2024-000215,2024-02-21,201,,372.43,Wire Transfer,AR00000215,2024-02-21,97
216,CR-2024-000216,2024-02-20,202,,7254.96,Check,AR00000216,2024-02-21,11
217,CR-2024-000217,2024-02-22,204,,3951.43,ACH,AR00000217,2024-02-24,11
218,CR-2024-000218,2024-02-21,205,206.0,4354.17,Check,AR00000218,2024-02-21,115
219,CR-2024-000219,2024-02-24,206,,1302.24,ACH,AR00000219,2024-02-24,97
220,CR-2024-000220,2024-02-24,207,,242.01,ACH,AR00000220,2024-02-25,115
221,CR-2024-000221,2024-02-24,208,,7733.24,ACH,AR00000221,2024-02-24,115
222,CR-2024-000222,2024-02-16,209,,11937.53,Check,AR00000222,2024-02-16,11
223,CR-2024-000223,2024-02-20,211,,2703.96,Credit Card,AR00000223,2024-02-22,115
224,CR-2024-000224,2024-03-24,194,,1798.37,ACH,DEP00000224,2024-03-24,97
225,CR-2024-000225,2024-03-21,43,,1483.26,Credit Card,DEP00000225,2024-03-21,11
226,CR-2024-000226,2024-03-17,31,,1608.43,Check,DEP00000226,2024-03-17,11
227,CR-2024-000227,2024-03-14,1,,10992.09,Wire Transfer,AR00000227,2024-03-14,97
228,CR-2024-000228,2024-03-19,1,,55790.32,Wire Transfer,AR00000228,2024-03-19,115
229,CR-2024-000229,2024-03-21,3,,145.93,Check,AR00000229,2024-03-21,115
230,CR-2024-000230,2024-03-16,4,,16350.58,Check,AR00000230,2024-03-16,11
231,CR-2024-000231,2024-03-18,5,,2569.01,ACH,AR00000231,2024-03-20,115
232,CR-2024-000232,2024-03-24,6,,408.15,ACH,AR00000232,2024-03-24,97
233,CR-2024-000233,2024-03-20,7,687.0,1465.59,ACH,AR00000233,2024-03-21,115
234,CR-2024-000234,2024-03-21,8,,2247.66,ACH,AR00000234,2024-03-21,97
235,CR-2024-000235,2024-03-17,9,,16129.28,ACH,AR00000235,2024-03-19,11
236,CR-2024-000236,2024-03-20,10,719.0,1237.12,ACH,AR00000236,2024-03-20,115
237,CR-2024-000237,2024-03-16,11,,7091.47,Credit Card,AR00000237,2024-03-16,11
238,CR-2024-000238,2024-03-20,12,,5280.33,Credit Card,AR00000238,2024-03-22,97
239,CR-2024-000239,2024-03-18,13,,21069.8,Wire Transfer,AR00000239,2024-03-18,97
240,CR-2024-000240,2024-03-22,14,979.0,829.47,Check,AR00000240,2024-03-22,115
241,CR-2024-000241,2024-03-20,15,,1513.86,Check,AR00000241,2024-03-22,97
242,CR-2024-000242,2024-03-22,17,721.0,1329.01,Credit Card,AR00000242,2024-03-22,115
243,CR-2024-000243,2024-03-22,18,,3673.15,Credit Card,AR00000243,2024-03-24,115
244,CR-2024-000244,2024-03-23,19,690.0,4349.65,ACH,AR00000244,2024-03-23,11
245,CR-2024-000245,2024-03-20,20,,15757.53,ACH,AR00000245,2024-03-20,11
246,CR-2024-000246,2024-03-14,21,,4981.79,Wire Transfer,AR00000246,2024-03-14,97
247,CR-2024-000247,2024-03-20,22,,6766.7,Credit Card,AR00000247,2024-03-21,115
248,CR-2024-000248,2024-03-17,23,,9065.18,ACH,AR00000248,2024-03-19,97
249,CR-2024-000249,2024-03-16,24,,10093.11,ACH,AR00000249,2024-03-16,97
250,CR-2024-000250,2024-03-18,25,,2719.45,Check,AR00000250,2024-03-19,115
251,CR-2024-000251,2024-03-20,26,,12879.79,Check,AR00000251,2024-03-20,97
252,CR-2024-000252,2024-03-21,27,,3859.76,Credit Card,AR00000252,2024-03-22,97
253,CR-2024-000253,2024-03-17,29,,6154.39,Wire Transfer,AR00000253,2024-03-18,115
254,CR-2024-000254,2024-03-18,30,,13882.07,ACH,AR00000254,2024-03-20,11
255,CR-2024-000255,2024-03-22,31,,320.54,Credit Card,AR00000255,2024-03-22,115
256,CR-2024-000256,2024-03-16,32,,5997.02,Check,AR00000256,2024-03-18,115
257,CR-2024-000257,2024-03-20,33,,9971.63,Wire Transfer,AR00000257,2024-03-22,115
258,CR-2024-000258,2024-03-20,34,,40884.62,ACH,AR00000258,2024-03-20,11
259,CR-2024-000259,2024-03-23,35,,490.08,Wire Transfer,AR00000259,2024-03-24,115
260,CR-2024-000260,2024-03-22,36,658.0,390.94,ACH,AR00000260,2024-03-23,11
261,CR-2024-000261,2024-03-20,37,893.0,2783.94,Wire Transfer,AR00000261,2024-03-20,97
262,CR-2024-000262,2024-03-22,38,,360.05,ACH,AR00000262,2024-03-22,115
263,CR-2024-000263,2024-03-16,39,,10137.36,Credit Card,AR00000263,2024-03-17,97
264,CR-2024-000264,2024-03-13,43,,3402.3,Wire Transfer,AR00000264,2024-03-15,97
265,CR-2024-000265,2024-03-14,44,,7119.57,ACH,AR00000265,2024-03-15,97
266,CR-2024-000266,2024-03-19,45,,6486.8,Check,AR00000266,2024-03-20,11
267,CR-2024-000267,2024-03-16,46,,15616.44,Check,AR00000267,2024-03-17,97
268,CR-2024-000268,2024-03-24,47,,156.33,Credit Card,AR00000268,2024-03-25,11
269,CR-2024-000269,2024-03-20,48,,815.39,Check,AR00000269,2024-03-22,115
270,CR-2024-000270,2024-03-11,49,,9448.9,ACH,AR00000270,2024-03-13,97
271,CR-2024-000271,2024-03-12,50,,1119.11,ACH,AR00000271,2024-03-14,11
272,CR-2024-000272,2024-03-20,51,,3592.38,Credit Card,AR00000272,2024-03-21,11
273,CR-2024-000273,2024-03-22,52,,249.98,Wire Transfer,AR00000273,2024-03-23,115
274,CR-2024-000274,2024-03-20,53,609.0,857.4,Wire Transfer,AR00000274,2024-03-21,11
275,CR-2024-000275,2024-03-14,55,,1937.19,Wire Transfer,AR00000275,2024-03-15,11
276,CR-2024-000276,2024-03-17,56,,684.29,ACH,AR00000276,2024-03-17,97
277,CR-2024-000277,2024-03-20,57,246.0,5816.21,Wire Transfer,AR00000277,2024-03-21,115
278,CR-2024-000278,2024-03-24,58,,127.51,Credit Card,AR00000278,2024-03-26,97
279,CR-2024-000279,2024-03-16,59,,3315.02,Check,AR00000279,2024-03-16,97
280,CR-2024-000280,2024-03-23,60,,944.86,ACH,AR00000280,2024-03-25,97
281,CR-2024-000281,2024-03-16,62,,13180.88,Wire Transfer,AR00000281,2024-03-18,115
282,CR-2024-000282,2024-03-17,63,,9996.95,Check,AR00000282,2024-03-18,115
283,CR-2024-000283,2024-03-23,65,,2088.09,Wire Transfer,AR00000283,2024-03-24,115
284,CR-2024-000284,2024-03-23,67,,2891.07,Credit Card,AR00000284,2024-03-23,115
285,CR-2024-000285,2024-03-17,68,,5939.39,Wire Transfer,AR00000285,2024-03-17,97
286,CR-2024-000286,2024-03-24,69,,729.85,Check,AR00000286,2024-03-26,115
287,CR-2024-000287,2024-03-21,70,842.0,3535.61,Check,AR00000287,2024-03-21,97
288,CR-2024-000288,2024-03-17,72,,30107.94,Credit Card,AR00000288,2024-03-18,115
289,CR-2024-000289,2024-03-21,73,290.0,1887.78,Wire Transfer,AR00000289,2024-03-21,97
290,CR-2024-000290,2024-03-17,74,,4175.86,ACH,AR00000290,2024-03-19,97
291,CR-2024-000291,2024-03-17,75,,4945.99,Credit Card,AR00000291,2024-03-19,11
292,CR-2024-000292,2024-03-18,76,611.0,1535.2,ACH,AR00000292,2024-03-20,97
293,CR-2024-000293,2024-03-20,78,233.0,15559.55,Wire Transfer,AR00000293,2024-03-20,97
294,CR-2024-000294,2024-03-23,79,,1265.13,Credit Card,AR00000294,2024-03-24,11
295,CR-2024-000295,2024-03-18,81,,37677.77,ACH,AR00000295,2024-03-20,11
296,CR-2024-000296,2024-03-17,82,,13093.96,Check,AR00000296,2024-03-19,97
297,CR-2024-000297,2024-03-18,83,,7991.59,Wire Transfer,AR00000297,2024-03-19,115
298,CR-2024-000298,2024-03-23,84,,1062.88,Check,AR00000298,2024-03-24,115
